position	positional_entropy
-20	0.0774546234766266
-19	0.0792426050713461
-18	0.0795309226742768
-17	0.0683539058353023
-16	0.0632769949219859
-15	0.00236571798535494
-14	0.00193013068654369
-13	0.042392089137162
-12	0.0396543990210998
-11	0.0422580687295946
-10	0.30997125975881
-9	0.0947038431131542
-8	0.027044671132547
-7	3.45371997176564e-05
-6	0.0101583279988856
-5	0.0245881096931083
-4	0.00789213777641595
-3	0.00896332871815572
-2	0.00728694933478822
-1	0.00319743511050818
0	0.00144234678257906
1	4.29327900186789e-05
2	0.000133702049810103
3	1.96916727017774e-05
4	0.00239045455409806
5	0.00831879525775022
6	0.0334916373807463
7	6.04045846939395e-08
8	1.9627223040567e-05
9	0.0135510639173859
10	0.00106193397857613
11	3.88585585857141e-05
12	0.000408329159470812
13	0.00056486426674754
14	0.000254928760083796
15	1.54266511851088e-05
16	8.83346382044163e-06
17	0.0001809434851979
18	2.15079790774949e-05
19	0.000615783614613264
20	0.00148288589916133
21	0.0012586777218517
22	0.00598002638869159
23	0.0194572044945437
24	0.0694503694457577
25	0.0462991695898969
26	0.112658410216474
27	0.0303865107554825
28	7.3073718206988e-05
29	8.61609700354977e-05
30	0.00102029836186723
90	0.112658410216474
91	0.0303865107554825
92	7.3073718206988e-05
93	8.61609700354977e-05
94	0.00102029836186723
95	0.137526768150542
96	0.0532633108830237
97	0.0684299475919011
98	0.024165688089806
99	0.00117555866317166
100	0.00150589912337546
101	0.000656305201718113
102	2.58525044048985e-05
103	0.00018108598050368
104	8.81923580803345e-06
105	0.000136486785932699
106	0.000359432357905311
107	1.02560081584899e-07
108	0.000506089591681601
109	0.000285463880711779
110	0.00108128883005622
111	0.0135467764357718
112	3.12711705793433e-06
113	0.00324843623954166
114	0.0324429313873761
115	0.00726955620709488
116	0.00126004485966678
117	2.45159350535234e-05
118	0.000141423070330915
119	0.000116415903010672
120	0.000579048725271824
121	0.000703668373252085
122	0.0016074871551428
123	0.00312545501718962
124	0.00195946157566779
125	0.0123052016895304
126	0.0191254609457908
127	0.038528814396335
128	0.034640012448219
129	0.241424811562489
130	0.221051289975701
131	0.135162485795962
132	0.135191410540052
133	0.139425801936626
134	0.00526308226623908
135	0.0218142850326646
136	0.086334216066012
138	0.103389557008492
139	0.107262810507779
140	0.177343377681286
141	0.138073112807587
143	0.000843764654074201
144	0.029846223729348
145	0.0988293201420006
137	0.0638145189852319
142	0.0925946440386767
